"Keyword"	"Competition"	"Global"	"Local"
"catering"	0.44	9140000	2740000
"food truck"	0.22	673000	550000
"the food truck"	0.22	673000	550000
"food truck la"	0.22	673000	550000
"la food truck"	0.22	673000	550000
"truck food"	0.22	673000	550000
"food trucks"	0.27	450000	450000
"la food trucks"	0.27	450000	450000
"food trucks in la"	0.27	450000	450000
"food trucks la"	0.27	450000	450000
"catering food"	0.31	450000	301000
"food cart"	0.28	368000	246000
"catering truck"	0.28	301000	246000
"food catering truck"	0.24	246000	246000
"catering food truck"	0.24	246000	246000
"food truck catering"	0.24	246000	246000
"lunch truck"	0.24	246000	246000
"catering trucks"	0.27	201000	201000
"lunch trucks"	0.23	201000	165000
"catering food trucks"	0.22	201000	165000
"food catering trucks"	0.22	201000	165000
"ice cream truck"	0.29	165000	110000
"soda machine"	0.74	135000	90500
"catering companies"	0.8	201000	74000
"catering menu"	0.49	110000	74000
"catering company"	0.72	135000	60500
"ice cream trucks"	0.34	90500	60500
"hot dog cart"	0.82	74000	60500
"concession trailer"	0.85	60500	60500
"food carts"	0.61	74000	49500
"concession trailers"	0.87	60500	49500
"mobile food"	0.52	60500	40500
"taco truck"	0.19	49500	40500
"hot dog carts"	1	40500	33100
"food trucks sale"	0.94	40500	33100
"food trucks for sale"	0.94	40500	33100
"food truck for sale"	0.94	40500	33100
"for sale food truck"	0.94	40500	33100
"truck food for sale"	0.94	40500	33100
"food truck sale"	0.94	40500	33100
"food truck race"	0.03	33100	27100
"the food truck race"	0.03	33100	27100
"food vendors"	0.39	33100	27100
"concession stand"	0.45	27100	27100
"food truck festival"	0.06	27100	27100
"la food truck festival"	0.06	27100	27100
"catering restaurants"	0.52	40500	22200
"mobile kitchen"	0.89	40500	22200
"food trailer"	0.67	33100	22200
"great food truck"	0.06	27100	22200
"the great food truck"	0.06	27100	22200
"the great food truck race"	0.03	27100	22200
"great food truck race"	0.03	27100	22200
"food truck in dc"	0.06	22200	22200
"dc food truck"	0.06	22200	22200
"food truck dc"	0.06	22200	22200
"corporate catering"	0.83	33100	18100
"food trailers"	0.74	27100	18100
